D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_TOOLTIP_KSM_RESEARCH,
TEXT_TOOLTIP_KSOROSUUB_RESEARCH,Completing this research unlocks the Dauntless Heavy Cruiser, Liberator Cruiser and Bulwark-III Battlecruiser. Retires the Gladiator-I Star Destroyer and Dauntless Transport Cruiser.
TEXT_TOOLTIP_KZETA_RESEARCH,TEXT_UNIT_KZETA_RESEARCH,Completing this research unlocks the Zeta Strike Cruiser, Corona Frigate, Imperial-II Star Destroyer II Ion Refit, Aggressor Star Destroyer, Tracked Shield Disabler Company and AT-AT Walker Ion Refit. Retires the Strike Cruiser.
TEXT_TOOLTIP_LAAT_IMPERIAL,A modified variant of the common LAAT/i specifically designed for special operations and ISB enforcement actions, using the obscure LAAT/s from the Clone Wars as a proof-of-concept. Features a black paintjob for intimidation and an enhanced EW suite, but otherwise has the same capabilities as the stock version. It also inherits the maintenance requirements of the base model, leading to it being largely confined to special forces use, with the IDT and MAAT being far more common in frontline military service.
TEXT_TOOLTIP_LAAT_IMPERIAL_COMPANY,Company: 1x Imperial Spec Ops Gunship
TEXT_TOOLTIP_LAC,A semi-standard version of a modified CEC Consular-class cruiser that has long been popular with Republic Judicial Forces, serving in the Stark Hyperspace War and the Yinchorri Uprising. This specific configuration is excellent for anti-starfighter escort duty while other corvette models are more suited to missile loadouts or attacking larger ships.
TEXT_TOOLTIP_LAC_HULL,Hull: 600 (Corvette)
TEXT_TOOLTIP_LAC_MOVE,Speed: 6.65 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_LAC_PD,Point-Defense: 1 / 0.45s / 1.5km
TEXT_TOOLTIP_LAC_SHIELD,Shields: 450 / [9/R] (Corvette)
TEXT_TOOLTIP_LAC_WEAP1,5x Medium Dual Rapid Laser Cannons: 6 / 5.0s / 3.5km
TEXT_TOOLTIP_LICTOR,The Lictor-Class were specialized prison ships built by Rendili StarDrive and reminiscent of older Mandalorian designs, to the point of sometimes being called "Mandalorian Dungeon Ships." They were introduced at the end of the Clone Wars to aid in the Great Jedi Purge by providing a secure way to transport captured Jedi and other force sensitives. When not in use as prisoner transports, they could fulfill other support roles in a fleet, but were rarely used as such due to the intentional limitations placed on their nav-computer.
TEXT_TOOLTIP_LICTOR_HULL,Hull: 4550 (Heavy Frigate)
TEXT_TOOLTIP_LICTOR_MOVE,Speed: 3.85 | Accel: 0.5 | Turn: 0.4
TEXT_TOOLTIP_LICTOR_SHIELD,Shields: 3900 / [29.25/R] (Heavy Frigate)
TEXT_TOOLTIP_LICTOR_SQUADRON,Fighters: 1 / 3 
TEXT_TOOLTIP_LICTOR_TENDER,Fleet Tender: 100 / 1.0s / 2.6km
TEXT_TOOLTIP_LICTOR_WEAP1,10x Light Quad Turbolasers: 2 / 2.5s / 2.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP,Lucrehulk conversion that uses interior space normally reserved for complements/cargo for extra reactors, shield generators and bracing. Mounts a significant amount of turbolasers as a result, while maintaining a dangerous defensive laser grid. Compared to battle carriers it is much better at ship to ship combat but loses out in sheer fighter presence.
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_HULL,Hull: 26000 (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SHIELD,Shields: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SQUADRON,Fighters: 3 / 10 | Bombers: 1 / 4
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP1,3x Heavy Turbolasers: 2 / 1.03s / 7.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP2,28x Medium Turbolasers: 2 / 1.0s / 6.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP3,40x Medium Quad Laser Cannons: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_LUPUS,Utilised by the Trade Federation prior to the Naboo Crisis, these missile frigates stayed in use for the early Clone Wars before being eventually phased out for more modern vessels, with the Lupus rarely seen in combat by the wars end. Their dense array of anti-fighter lasers and concussion missiles makes them a strong screener against fighters, with its relatively slow speed and lack of point-defense arrays being its only weaknesses for that role.
TEXT_TOOLTIP_LUPUS_HULL,Hull: 850 (Frigate)
TEXT_TOOLTIP_LUPUS_MOVE,Speed: 2.8 | Accel: 0.1 | Turn: 0.35
TEXT_TOOLTIP_LUPUS_SHIELD,Shields: 700 / [12.25/R] (Corvette)
TEXT_TOOLTIP_LUPUS_WEAP1,4x Heavy Dual Laser Cannons: 2 / 5.0s / 4.5km
TEXT_TOOLTIP_LUPUS_WEAP2,2x Medium Laser Cannons: 2 / 5.0s / 4.0km
TEXT_TOOLTIP_LUPUS_WEAP3,2x Concussion Missiles: 2 / 6.0s / 4.0km
TEXT_TOOLTIP_MAHKKAR,A gotal crime lord who briefly allied himself with the Kaarenth Dissension. In exchange for protecting his interests in the Corva Sector, Mahk'Kar hunted the mythical Kashi Mer talisman on behalf of the Dark Jedi Durrei.
TEXT_TOOLTIP_MALLAT,An ISB agent still in active service to the Empire by 16ABY. In that same year, he responded to a request from Grand Moff Gann of Sector 5 for information on the Yevetha.
TEXT_TOOLTIP_MANSK,A small starship manufactured by Tallaani Shipyards in the Tapani Sector. These ships would often serve in the fleets of the Tapani Noble Houses such as that of House Melantha.
TEXT_TOOLTIP_MANSK_HULL,Hull: 600 (Corvette)
TEXT_TOOLTIP_MANSK_MOVE,Speed: 5.6 | Accel: 0.06 | Turn: 0.65
TEXT_TOOLTIP_MANSK_PD,Point-Defense: 1 / 0.45s / 1.25km
TEXT_TOOLTIP_MANSK_SHIELD,Shields: 720 / [16.2/R] (Corvette)
TEXT_TOOLTIP_MANSK_WEAP1,1x Light Ion Cannon: 1 / 5.0s / 5.0km
TEXT_TOOLTIP_MANSK_WEAP2,6x Light Dual Rapid Laser Cannons: 6 / 5.0s / 3.0km
TEXT_TOOLTIP_MANTA_FIGHTER,Tapani Assault starfighter favored all over the Tapani Sector. The Manta Fighter was designed to defend against pirates and is thus not well suited to strikes against capital ships, however its impressive speed makes it great at chasing down enemy fighters.
TEXT_TOOLTIP_MERILI,A Witch of Dathomir who was inducted into the Prophets of the Dark Side and later became one half of the Emperor's Eyes. Her training with esoteric Force techniques under various masters, including Cronal and his daughter Sariss, drove her to insanity. Following the Emperor's apparent death over Endor, she was assigned to watch over Grand Admiral Pecatti Syn to keep him in line.
TEXT_TOOLTIP_MERILI_HEALTH,Health: 180 [2%/5s] (Hero)
TEXT_TOOLTIP_MERILI_MOVE,Speed: 1.45
TEXT_TOOLTIP_MERILI_WEAP1,1x Electroblade: 1 / 0.2s / 1m
TEXT_TOOLTIP_MUNIFEX,Also known as the "Class 1000" for setting the modern KDY production batch size. A fragile but over-gunned frigate produced for the Trade Defence Force two centuries before the Clone Wars. Intended to eliminate similar-sized vessels while also being plentiful enough to mass-attack larger cruisers.
TEXT_TOOLTIP_MUNIFEX_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_MUNIFEX_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.3
TEXT_TOOLTIP_MUNIFEX_SHIELD,Shields: 900 / [13.5/R] (Frigate)
TEXT_TOOLTIP_MUNIFEX_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_MUNIFEX_WEAP1,2x Light Turbolasers: 2 / 0.71s / 5.1km
TEXT_TOOLTIP_MUNIFEX_WEAP2,2x Light Ion Cannons: 2 / 1.67s / 5.1km
TEXT_TOOLTIP_NAMMAN,Namman Cha was a Human male and an aspiring Dark Jedi in league with the Galactic Empire who believed that he could become a Dark Lord of the Sith through the discovery of ancient relics, like the Codex of Tython. He was an imposing warrior, calling for no quarter in a brutal attack. His hate had pushed him to learn to use a shoto, a short-bladed lightsaber.
TEXT_TOOLTIP_NAMMAN_HEALTH,Health: 180 [2%/5s] (Hero)
TEXT_TOOLTIP_NAMMAN_MOVE,Speed: 1.2
TEXT_TOOLTIP_NAMMAN_WEAP1,1x Lightsaber: 1 / 0.2s / 1m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD,Neimoidian soldiers originally drawn into service defending Neimoidia and its purse worlds. These Guard units could be transferred to defending worlds where droids were unusable along with serving as protection for Separatist officials. They are drawn from all aspects of Neimoidian society including mercenaries and convicts given promise of amnesty. The capabilities of these infantry are not to be underestimated; they are heavily armed and highly motivated enough to prove doubtful claims about Neimoidian mettle false.
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY,Company: 24x Neimoidian Guard
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY_WEAP1,9x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY_WEAP2,3x AI Blaster Cannon: 2 / 1.0s / 280m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY_WEAP3,6x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY_WEAP4,6x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_COMPANY_WEAP5,12x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_HEALTH,Health: 24 (Infantry)
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_MOVE,Speed: 0.8
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SGT_HEALTH,Health: 28 (Infantry)
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD,Squad: 6x Neimoidian Guard
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD1_WEAP1,3x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD1_WEAP2,1x AI Blaster Cannon: 2 / 1.0s / 280m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD1_WEAP3,2x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD1_WEAP4,4x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_SQUAD2_WEAP1,6x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_WEAP1,1x Neimoidian Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_WEAP2,1x Neimoidian Blaster Stave: 1 / 1.0s / 240m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_WEAP3,1x MiniMag PTL Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_WEAP4,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_NEIMOIDIAN_GUARD_WEAP5,1x Neimoidian Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_NTB_630,A relatively popular joint Incom and Subpro design, the NTB-630 would be extensively used in the Clone Wars as a bomber craft focused on killing CIS capital ships. It was essentially a bomber version of the ubiquitous ARC-170 and a more agile and space capable PTB-625. The NTB-630 shares many of the same visual design elements of its sister designs.
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID,A Baktoid-developed droid meant to enforce Commerce Guild whims, its body is little more than a reactor with armor plating and legs. Both anti-infantry and anti-vehicle weapons make this walker a versatile combatant.
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_COMPANY,Company: 4x OG-9 Homing Spider Droid
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_HEALTH,Health: 150 (Light Vehicle)
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_MOVE,Speed: 1.25 | Turn: 4.0
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP1,1x AV Beam Cannon: 12 / 1.5s / 320m
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP2,1x Heavy AI Blaster Cannon (AOE): 1 / 0.5s / 240m
TEXT_TOOLTIP_PRAETOR_I,A large battleship produced before the Clone Wars to be flaunted by wealthy sectors and planets. While the vessels originally had hamstrung hyperdrives due to regulations, wartime conditions saw them upgraded out of necessity as task force leaders and response units. 
TEXT_TOOLTIP_PRAETOR_I_HULL,Hull: 32940 (Capital)
TEXT_TOOLTIP_PRAETOR_I_MOVE,Speed: 2.45 | Accel: 0.1 | Turn: 0.175
TEXT_TOOLTIP_PRAETOR_I_SHIELD,Shields: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_PRAETOR_I_SQUADRON,Fighters: 3 / 12
TEXT_TOOLTIP_PRAETOR_I_WEAP1,20x Heavy Quad Turbolasers: 2 / 5.0s / 7.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP2,8x Medium Dual Turbolasers: 2 / 4.0s / 6.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP3,5x Heavy Dual Ion Cannons: 2 / 5.0s / 7.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP4,8x Medium Dual Ion Cannons: 2 / 4.0s / 6.8km
TEXT_TOOLTIP_PROCURATOR,First full class of dedicated warships made post-Ruusan to qualify as a battlecruiser under the Anaxes War College System, the Procurator-class stands out as a prime example of Kuat Drive Yards ability to produce ships and market itself at the same time. Built nominally to defend the Kuat sector, the greater purpose of the daunting ship was to attract wealthy clients to KDY, which led to the Procurator being popular for Core and Colonies sector defense before being supplanted by the development of the Praetor-class. Though its weapon capabilities are limited the Procurator can still serve as an excellent anchor for any fleet.
TEXT_TOOLTIP_PROCURATOR_HULL,Hull: 13020 (Capital)
TEXT_TOOLTIP_PROCURATOR_MOVE,Speed: 2.45 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_PROCURATOR_SHIELD,Shields: 9000 / [22.5/R] (Capital)
TEXT_TOOLTIP_PROCURATOR_SQUADRON,Fighters: 2 / 4
TEXT_TOOLTIP_PROCURATOR_WEAP1,8x Medium Dual Turbolasers: 2 / 2.0s / 6.5km
TEXT_TOOLTIP_PROCURATOR_WEAP2,14x Light Turbolasers: 2 / 1.0s / 5.5km
TEXT_TOOLTIP_PROCURATOR_WEAP3,6x Proton Torpedoes: 2 / 7.5s / 5.5km
TEXT_TOOLTIP_PROVIDENCE_PIRATE_SQUADRON,Fighters: 1 / 3 | Bombers: 2 / 6  
TEXT_TOOLTIP_RBANN,Rbann was a Kubaz Imperial spy who worked directly for Blackhole, the shadowy Director of Imperial Intelligence. In 1 ABY, Blackhole dispatched Rbann to the "Gambler's World" of Vorzyd V, ordering the Kubaz to track prominent Rebel leaders Luke Skywalker and Leia Organa, who Blackhole had learned had been sent to Vorzyd V to disrupt Imperial operations there. Rbann quickly managed to track them to the Casino Royale in the capital city of Efavan, and his stormtroopers overpowered the Rebels and imprisoned them aboard Rbann's ship.
TEXT_TOOLTIP_RED_POLICE,An infamous law enforcement agency established on the planet Prakith under the auspices of Moff Foga Brill. The Red Police were feared as the paramilitary instruments of Brill's reign, and suspected of conducting mass executions of vagrants, dissidents and other undesirables. Like much of Moff Brill's private fiefdom, the Red Police are ostentatious, imposing and flaunting expensive gear, only to mask deep-set rot and brittleness.
TEXT_TOOLTIP_RED_POLICE_COMPANY,Company: 18x Red Police
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP1,9x Blaster SMG: 5 / 2.0s / 220m
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP2,9x Underslung Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP3,6x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP4,3x Disruptor Rifle: 1 / 5.0s / 220m
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP5,6x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_COMPANY_WEAP6,3x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_HEALTH,Health: 24 (Infantry)
TEXT_TOOLTIP_RED_POLICE_MOVE,Speed: 1.1
TEXT_TOOLTIP_RED_POLICE_SQUAD,Squad: 6x Red Police
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP1,3x Blaster SMG: 5 / 2.0s / 220m
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP2,3x Underslung Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP3,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP4,1x Disruptor Rifle: 1 / 5.0s / 220m
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP5,2x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_SQUAD_WEAP6,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_WEAP1,1x Red Police Issue Blaster: 5 / 2.0s / 220m
TEXT_TOOLTIP_RED_POLICE_WEAP2,1x Underslung Light Proton Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_WEAP3,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_RED_POLICE_WEAP4,1x DXR-6 Disruptor Rifle: 1 / 5.0s / 220m
TEXT_TOOLTIP_RED_POLICE_WEAP5,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_RED_POLICE_WEAP6,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_REE_SHALA,Ree Shala worked the majority of her life as a smuggler. She began by running spice, but after many unsuccessful ventures she established an operation where she was responsible for setting up deals, while others ran the space lanes. Through her hard work she was able to create a mid-sized smuggling ring based out of the Corva sector.
TEXT_TOOLTIP_REFORM_PRAETORIAN,Reform Praetorian Squadron
TEXT_TOOLTIP_RELGIMAT_RESEARCH,Upgrade the motor pool to include more modern AT Walkers. Replaces the AT-ST and standard AT-AT with the AT-ST/A and Turbolaser-equipped AT-AT.
TEXT_TOOLTIP_REPUBLIC_TIE,The first general production model in a famous line of fighters with roots in the Sienar Advanced Project Vessel. It was created to fill space aboard older warships but was pressed into greater service due to efficiency compared to more expensive Kuati interceptors. It is sturdier than its successor designs but less maneuverable.
TEXT_TOOLTIP_REPUBLIC_Z95,A variant of the popular Z-95 Headhunter, the clone Z-95 starfighter boasted speed and maneuverability on account of its sleek design. It was equipped with recessed torpedo launchers and a pair of wingtip laser cannons, and its shielding allowed it to endure much damage, though it lacked a hyperdrive.
TEXT_TOOLTIP_ROEK,Roek was an officer in the Starfleet of the Galactic Empire. after the Battle of Endor, Admiral Roek and his fleet were recalled to the Core Worlds to defend the Corellian system from the New Republic. Roek replaced Admiral Jaeffis who was previously responsible for the defense of the Corellian shipyards with his fleet of 25 Star Destroyers, and partook in the Empire's withdraw from the system. Roek's fleet eventually passed into the hands of Grand Admiral Grunger.
TEXT_TOOLTIP_SCHMONG,Kiara Schmong was a Sullustan arms dealer and spy who constantly switched affiliations, though she most prominently worked for the Kaarenth Dissension. Selling them illegally sourced SoroSuub hardware and scientific secrets stolen from the Brothers Teradoc, she was last seen fleeing New Republic authorities.
TEXT_TOOLTIP_SCIMITAR_RESEARCH_BOMBER1,Finance mass production of a Sienar assault fighter based off Tomax Bren's proposed TIE Bomber MK2, replacing the TIE Bomber completely. 
TEXT_TOOLTIP_SCIMITAR_RESEARCH_BOMBER1,Finance mass production of a Sienar assault fighter based off Tomax Bren's proposed TIE Bomber MK2, replacing the TIE Bomber completely. 
TEXT_TOOLTIP_SHADOW_ACCLAMATOR_I,A large, transgalactic assault vessel that was secretly developed before the Clone Wars. While best known for carrying army groups, it is typically used as a carrier in naval duties. Carries enough turbolasers to threaten other large ships, but is not durable for the size. Coated in black stygian-triprismatic polymer, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_ATAT,The Shadow AT-AT was an All Terrain Armored Transport walker covered with gleaming black armor. Utilized by the Galactic Empire during the Galactic Civil War fought against the Alliance to Restore the Republic, the Shadow AT-AT was created solely for the purpose of intimidating enemy forces rather than performing stealth operations. The Alliance's soldiers found the Shadow AT-AT to be one of the most frightening specters on the battlefield. 
TEXT_TOOLTIP_SHADOW_ATAT_COMPANY,Company: 1x Shadow AT-AT Walker
TEXT_TOOLTIP_SHADOW_ATAT_DEPLOY,Deploys: 1x Shadow Stormtroopers Squad
TEXT_TOOLTIP_SHADOW_CUSTOMS_CORVETTE,Designed to infringe on Corellian market niches during the last decades of the Republic, and famous for use with the Imperial Customs Office, this vessel is intended to dock with merchant freighters and transports to conduct routine system patrol and merchant vessel monitoring. It is not as durable as some purely military screening vessels, but is fast and well armed enough to perform the role in fleet combat. Coated in black stygian-triprismatic polymer, this vessel was nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER,Rare cross-combination of Shadow Stormtrooper and Scout Trooper concepts. Shadow Scout troopers are Cronal's handpicked scout operatives and are tasked with covert operations such as reconnaissance, sabotage and assassinations. Equipped with highly lightweight yet durable cloaking armour that allows these Shadow Scout troopers to get around unnoticed and reposition more effectively. Used for ranged engagement and swift strikes, they are extremely effective against lightly armoured targets.
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY,Company: 20x Shadow Scout Trooper
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP1,7x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP2,2x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP3,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP4,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP5,5x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP6,6x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP7,2x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP8,2x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD,Squad: 5x Shadow Scout Trooper
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP1,3x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP2,1x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP3,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP4,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP5,1x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP1,1x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP2,3x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP3,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP4,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP1,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP2,3x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP3,3x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP4,2x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_STAR_DESTROYER_CARRIER,ISD-I hull conversion dedicating portions of its outer trenches for further hangar space at the cost of some dedicated shield and engine output. Saw most use as a deterrent against Rebel heavy carriers during the Galactic Civil War, though its exposed hangar space made it vulnerable to saboteurs boarding and sabotaging critical subsystems. Coated in black stygian-triprismatic polymer, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_TX130S,A fast and maneuverable "fighter tank" line developed by the Galactic Republic as a medium armor asset. Fixed weapons require it to face the target to bring its full firepower to bear while shields make up for somewhat light armor. Coated in black stygian-triprismatic polymer and fitted with a stygium cloaking device which allows it to hide from sensors of any kind.
TEXT_TOOLTIP_SHADOW_TX130S_COMPANY,Company: 3x Shadow TX-130S Fighter Tank
TEXT_TOOLTIP_SHADOW_ULAV,The ULAV is a small and fast but fragile landspeeder developed by Sienar which originally saw extensive use but typically became rapidly phased out after the early years of the Empire. Coated in black stygian-triprismatic polymer and fitted with a stygium cloaking device which allows it to hide from sensors of any kind.
TEXT_TOOLTIP_SHADOW_ULAV_COMPANY,Company: 4x Shadow Ultra-Light Assault Vehicle
TEXT_TOOLTIP_SHADOW_VENGEANCE_DREADNOUGHT,The Vengeance-class was based on the standard Super Star Destroyer design, the Executor-class. As such, the ship class was approximately 19 kilometers long. In addition, because of its dimensions, the ship class sometimes possessed the standard classification of a space station. Coated in black stygian-triprismatic polymer, this vessel was nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_VIGIL,A Kuat Drive Yards design in the Star Destroyer line, the Vigil shared many design elements with other Star Destroyers, although its lower command bridge gave it a smaller, harder-to-hit profile. Because of its size, it mostly served as a patrol vessel. Effective against medium sized targets in groups. Coated in black stygian-triprismatic polymer, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOWTROOPER_M_SQUAD,Squad: 9x Shadow Stormtrooper
TEXT_TOOLTIP_SHADOWTROOPER_M_SQUAD_WEAP1,9x E11 Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOWTROOPER_M_SQUAD_WEAP2,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_SHADOWTROOPER_M_SQUAD_WEAP3,1x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHARAOR,A female Draethos with a long career in law enforcement dating back to before the Clone Wars. After fleeing from Separatist occupation, she took a job as a private security officer for TaggeCo, a position she would keep throughout the Galactic Civil War and beyond.
TEXT_TOOLTIP_SHIELDED_MISSILE_TIE_FIGHTER,A rare TIE Fighter variant modified with a shield generator and anti-fighter concussion missile launchers. Typically deployed in situations that require the extra durability and firepower and no other dedicated interceptors are available. The additional weight creates a small but noticeable decrease to the craft’s speed and handling.
